weekend_mon,ticker,g_T,r_btc,r_es,r_xlk_fri,funding_sun
2025-12-08,SPY,0.001311721403645528,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,QQQ,0.002762124069731181,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,GOOGL,-0.0038046614373364327,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,AAPL,-0.0023342880801428194,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,NVDA,0.0012600781046352397,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,TSLA,-0.016732592040753263,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,MSTR,0.01722605120275563,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-08,HOOD,0.016162795981095,0.011532463174271075,0.0006903442912008997,0.00729119841101582,
2025-12-15,SPY,0.005820828820818291,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,QQQ,0.007711139821821075,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,GOOGL,0.006541969891777689,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,AAPL,0.006697355555854301,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,NVDA,0.016546151018054123,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,TSLA,0.022577458479689373,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,MSTR,-0.0025535377878150986,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-15,HOOD,0.007503174176568017,-0.02353076941043936,3.6598532402931e-05,-0.029351340532206515,
2025-12-22,SPY,0.004910089546413794,0.005862416181008533,0.01601313381258784,0.02138903672109315,-0.28031033810207634
2025-12-22,QQQ,0.006944452843733845,0.005862416181008533,0.01601313381258784,0.02138903672109315,-0.4750874589553127
