weekend_mon,fri_ts,gap_days,symbol,underlying,fri_close,mon_open,cl_mid,cl_minutes_before_open
2026-02-09,2026-02-06,3,AAPLx,AAPL,278.1199951171875,277.9100036621094,278.0,0.8
2026-02-09,2026-02-06,3,GOOGLx,GOOGL,322.8599853515625,320.92999267578125,323.03,0.8
2026-02-09,2026-02-06,3,HOODx,HOOD,82.81999969482422,84.87999725341797,82.89,0.016666666666666666
2026-02-09,2026-02-06,3,MSTRx,MSTR,134.92999267578125,127.37000274658203,134.925,0.016666666666666666
2026-02-09,2026-02-06,3,NVDAx,NVDA,185.41000366210938,184.25999450683594,185.41,0.8
2026-02-09,2026-02-06,3,QQQx,QQQ,609.6500244140625,607.5399780273438,610.125,0.5166666666666667
2026-02-09,2026-02-06,3,SPYx,SPY,690.6199951171875,689.4199829101562,691.23,0.6166666666666667
2026-02-09,2026-02-06,3,TSLAx,TSLA,411.1099853515625,409.9100036621094,411.245,0.8
2026-02-17,2026-02-13,4,AAPLx,AAPL,255.77999877929688,258.04998779296875,255.755,0.2833333333333333
2026-02-17,2026-02-13,4,GOOGLx,GOOGL,305.7200012207031,300.0400085449219,305.41499999999996,0.48333333333333334
2026-02-17,2026-02-13,4,HOODx,HOOD,75.97000122070312,74.33999633789062,75.955,0.23333333333333334
2026-02-17,2026-02-13,4,MSTRx,MSTR,133.8800048828125,129.00999450683594,133.89,0.3333333333333333
2026-02-17,2026-02-13,4,NVDAx,NVDA,182.80999755859375,181.75,182.785,0.38333333333333336
2026-02-17,2026-02-13,4,QQQx,QQQ,601.9199829101562,598.3800048828125,601.74,0.38333333333333336
2026-02-17,2026-02-13,4,SPYx,SPY,681.75,680.1400146484375,681.54,0.7666666666666667
2026-02-17,2026-02-13,4,TSLAx,TSLA,417.44000244140625,412.3599853515625,417.225,0.38333333333333336
2026-02-23,2026-02-20,3,AAPLx,AAPL,264.5799865722656,263.489990234375,264.38,0.35
2026-02-23,2026-02-20,3,GOOGLx,GOOGL,314.9800109863281,319.04998779296875,315.23,0.45
2026-02-23,2026-02-20,3,HOODx,HOOD,76.11000061035156,74.59500122070312,76.07,0.9666666666666667
2026-02-23,2026-02-20,3,MSTRx,MSTR,131.0500030517578,127.9000015258789,130.805,0.4
2026-02-23,2026-02-20,3,NVDAx,NVDA,189.82000732421875,191.39999389648438,189.82,0.11666666666666667
2026-02-23,2026-02-20,3,QQQx,QQQ,608.8099975585938,606.6099853515625,608.425,0.35
