weekend_date,mon_date,symbol,tau,lower,upper,point,half_width_bps,regime_code,forecaster_code,profile_code,artefact_sha256,provenance,computed_ts
2026-07-24,2026-07-27,NVDA,0.95,203.0977035,214.3056314,208.7016674,270.9323194,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,NVDA,0.99,199.8933617,217.5099732,208.7016674,425.8511859,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,QQQ,0.68,685.8104847,694.9663512,690.388418,66.9063524,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,QQQ,0.85,683.2008429,697.575993,690.388418,105.0461872,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,QQQ,0.95,677.8719163,702.9049196,690.388418,182.9282839,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,QQQ,0.99,670.7149915,710.0618444,690.388418,287.5265189,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,SPY,0.68,742.0221678,749.1393515,745.5807597,48.15871439,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,SPY,0.85,739.9935995,751.1679198,745.5807597,75.61149495,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,SPY,0.95,735.8512336,755.3102857,745.5807597,131.6704717,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,SPY,0.99,730.287899,760.8736204,745.5807597,206.9595338,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TLT,0.68,83.20354765,83.75274833,83.47814799,32.98502554,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TLT,0.85,83.04701227,83.90928371,83.47814799,51.78807457,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
2026-07-24,2026-07-27,TLT,0.95,82.72736474,84.22893124,83.47814799,90.18417387,normal,3,1,7b86d17a76912aa0b9a35c1dda953786f0be5d045f4f2ba91edebeaa4605f9fe,retro_frozen,2026-07-28T13:30:09Z
